alpha,optimization_time,n_features,cost_value
0.5,0.03784489631652832,2,-0.0934265522083706
0.75,0.018236637115478516,3,-0.1556617048925233
0.875,0.01736307144165039,3,-0.23573411995147353
0.9375,0.019373655319213867,6,-0.31564753383070965
0.96875,0.01899099349975586,11,-0.47196716851357046
0.984375,0.017867326736450195,15,-0.7241039680536554
0.98828125,0.018082857131958008,19,-0.8419962738740341
0.9921875,0.017285823822021484,25,-1.0361583381414445
